mode,source,design_method,window,cutoff_hz,beta,tap_index,coefficient
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,80,-0.00394163971645583
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,81,-0.00334117129340646
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,82,-0.00246492245433739
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,83,-0.00146417676107845
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,84,-0.000480084333020492
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,85,0.000372339755759606
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,86,0.00101447981775893
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,87,0.00140812721719851
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,88,0.00155360156724836
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,89,0.00148308778813843
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,90,0.00125078505188868
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,91,0.000921678952186025
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,92,0.000560687729964407
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,93,0.000223637627725763
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,94,-4.89394303252482e-05
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,95,-0.000234735566862752
300K,recalc_scan,windowed_sinc,kaiser,165000,4,0,0.000438063854040388
300K,recalc_scan,windowed_sinc,kaiser,165000,4,1,0.000450987319346082
300K,recalc_scan,windowed_sinc,kaiser,165000,4,2,0.000402735458552472
300K,recalc_scan,windowed_sinc,kaiser,165000,4,3,0.000284421816594177
300K,recalc_scan,windowed_sinc,kaiser,165000,4,4,9.5641962740946e-05
300K,recalc_scan,windowed_sinc,kaiser,165000,4,5,-0.000153815945626033
300K,recalc_scan,windowed_sinc,kaiser,165000,4,6,-0.000443441457305035
300K,recalc_scan,windowed_sinc,kaiser,165000,4,7,-0.000742909342851813
300K,recalc_scan,windowed_sinc,kaiser,165000,4,8,-0.00101451543431643
300K,recalc_scan,windowed_sinc,kaiser,165000,4,9,-0.0012170331219596
300K,recalc_scan,windowed_sinc,kaiser,165000,4,10,-0.00131067370300132
300K,recalc_scan,windowed_sinc,kaiser,165000,4,11,-0.00126264129628895
300K,recalc_scan,windowed_sinc,kaiser,165000,4,12,-0.00105262489991229
300K,recalc_scan,windowed_sinc,kaiser,165000,4,13,-0.000677491124166539
300K,recalc_scan,windowed_sinc,kaiser,165000,4,14,-0.000154449441761766
300K,recalc_scan,windowed_sinc,kaiser,165000,4,15,0.000477933784068354
300K,recalc_scan,windowed_sinc,kaiser,165000,4,16,0.00116129851449346
300K,recalc_scan,windowed_sinc,kaiser,165000,4,17,0.00182178161877607
300K,recalc_scan,windowed_sinc,kaiser,165000,4,18,0.00237685755077385
300K,recalc_scan,windowed_sinc,kaiser,165000,4,19,0.00274420884526483
300K,recalc_scan,windowed_sinc,kaiser,165000,4,20,0.00285178904096041
300K,recalc_scan,windowed_sinc,kaiser,165000,4,21,0.00264799172938023
300K,recalc_scan,windowed_sinc,kaiser,165000,4,22,0.00211069672603504
300K,recalc_scan,windowed_sinc,kaiser,165000,4,23,0.00125395640823317
300K,recalc_scan,windowed_sinc,kaiser,165000,4,24,0.000131226802490783
300K,recalc_scan,windowed_sinc,kaiser,165000,4,25,-0.00116566304840023
300K,recalc_scan,windowed_sinc,kaiser,165000,4,26,-0.00251219366128604
300K,recalc_scan,windowed_sinc,kaiser,165000,4,27,-0.00376137354764665
300K,recalc_scan,windowed_sinc,kaiser,165000,4,28,-0.0047578323976547
300K,recalc_scan,windowed_sinc,kaiser,165000,4,29,-0.00535460463330588
300K,recalc_scan,windowed_sinc,kaiser,165000,4,30,-0.00543098061826202
300K,recalc_scan,windowed_sinc,kaiser,165000,4,31,-0.00490950807412155
300K,recalc_scan,windowed_sinc,kaiser,165000,4,32,-0.00377012201769455
300K,recalc_scan,windowed_sinc,kaiser,165000,4,33,-0.00205949660029566
300K,recalc_scan,windowed_sinc,kaiser,165000,4,34,0.000105947404627123
300K,recalc_scan,windowed_sinc,kaiser,165000,4,35,0.00254439922472385
300K,recalc_scan,windowed_sinc,kaiser,165000,4,36,0.00502068991221416
300K,recalc_scan,windowed_sinc,kaiser,165000,4,37,0.00726550509486633
300K,recalc_scan,windowed_sinc,kaiser,165000,4,38,0.00900046341695845
300K,recalc_scan,windowed_sinc,kaiser,165000,4,39,0.0099669974968719
300K,recalc_scan,windowed_sinc,kaiser,165000,4,40,0.00995638608981636
300K,recalc_scan,windowed_sinc,kaiser,165000,4,41,0.00883793296135115
300K,recalc_scan,windowed_sinc,kaiser,165000,4,42,0.00658222429193715
300K,recalc_scan,windowed_sinc,kaiser,165000,4,43,0.00327664896493591
300K,recalc_scan,windowed_sinc,kaiser,165000,4,44,-0.000869070769871557
300K,recalc_scan,windowed_sinc,kaiser,165000,4,45,-0.00552875613439638
300K,recalc_scan,windowed_sinc,kaiser,165000,4,46,-0.010277438096577
300K,recalc_scan,windowed_sinc,kaiser,165000,4,47,-0.0146200530497726
300K,recalc_scan,windowed_sinc,kaiser,165000,4,48,-0.0180292713168165
300K,recalc_scan,windowed_sinc,kaiser,165000,4,49,-0.0199895472555949
300K,recalc_scan,windowed_sinc,kaiser,165000,4,50,-0.0200436964352551
300K,recalc_scan,windowed_sinc,kaiser,165000,4,51,-0.0178378439082528
300K,recalc_scan,windowed_sinc,kaiser,165000,4,52,-0.0131605093861538
300K,recalc_scan,windowed_sinc,kaiser,165000,4,53,-0.00597192480449984
300K,recalc_scan,windowed_sinc,kaiser,165000,4,54,0.00357959858135418
300K,recalc_scan,windowed_sinc,kaiser,165000,4,55,0.0151563790111135
300K,recalc_scan,windowed_sinc,kaiser,165000,4,56,0.0282459731976131
300K,recalc_scan,windowed_sinc,kaiser,165000,4,57,0.0421910840933858
300K,recalc_scan,windowed_sinc,kaiser,165000,4,58,0.0562327511885405
300K,recalc_scan,windowed_sinc,kaiser,165000,4,59,0.0695635405502674
300K,recalc_scan,windowed_sinc,kaiser,165000,4,60,0.0813864596947904
300K,recalc_scan,windowed_sinc,kaiser,165000,4,61,0.0909747061610109
300K,recalc_scan,windowed_sinc,kaiser,165000,4,62,0.0977271845249411
300K,recalc_scan,windowed_sinc,kaiser,165000,4,63,0.101215018229978
300K,recalc_scan,windowed_sinc,kaiser,165000,4,64,0.101215018229978
300K,recalc_scan,windowed_sinc,kaiser,165000,4,65,0.0977271845249411
300K,recalc_scan,windowed_sinc,kaiser,165000,4,66,0.0909747061610109
300K,recalc_scan,windowed_sinc,kaiser,165000,4,67,0.0813864596947904
300K,recalc_scan,windowed_sinc,kaiser,165000,4,68,0.0695635405502674
300K,recalc_scan,windowed_sinc,kaiser,165000,4,69,0.0562327511885405
300K,recalc_scan,windowed_sinc,kaiser,165000,4,70,0.0421910840933858
300K,recalc_scan,windowed_sinc,kaiser,165000,4,71,0.0282459731976131
300K,recalc_scan,windowed_sinc,kaiser,165000,4,72,0.0151563790111135
300K,recalc_scan,windowed_sinc,kaiser,165000,4,73,0.00357959858135418
300K,recalc_scan,windowed_sinc,kaiser,165000,4,74,-0.00597192480449984
300K,recalc_scan,windowed_sinc,kaiser,165000,4,75,-0.0131605093861538
300K,recalc_scan,windowed_sinc,kaiser,165000,4,76,-0.0178378439082528
300K,recalc_scan,windowed_sinc,kaiser,165000,4,77,-0.0200436964352551
300K,recalc_scan,windowed_sinc,kaiser,165000,4,78,-0.0199895472555949
300K,recalc_scan,windowed_sinc,kaiser,165000,4,79,-0.0180292713168165
300K,recalc_scan,windowed_sinc,kaiser,165000,4,80,-0.0146200530497726
300K,recalc_scan,windowed_sinc,kaiser,165000,4,81,-0.010277438096577
300K,recalc_scan,windowed_sinc,kaiser,165000,4,82,-0.00552875613439638
300K,recalc_scan,windowed_sinc,kaiser,165000,4,83,-0.000869070769871557
300K,recalc_scan,windowed_sinc,kaiser,165000,4,84,0.00327664896493591
300K,recalc_scan,windowed_sinc,kaiser,165000,4,85,0.00658222429193715
300K,recalc_scan,windowed_sinc,kaiser,165000,4,86,0.00883793296135115
300K,recalc_scan,windowed_sinc,kaiser,165000,4,87,0.00995638608981636
300K,recalc_scan,windowed_sinc,kaiser,165000,4,88,0.0099669974968719
300K,recalc_scan,windowed_sinc,kaiser,165000,4,89,0.00900046341695845
300K,recalc_scan,windowed_sinc,kaiser,165000,4,90,0.00726550509486633
300K,recalc_scan,windowed_sinc,kaiser,165000,4,91,0.00502068991221416
300K,recalc_scan,windowed_sinc,kaiser,165000,4,92,0.00254439922472385
300K,recalc_scan,windowed_sinc,kaiser,165000,4,93,0.000105947404627123
300K,recalc_scan,windowed_sinc,kaiser,165000,4,94,-0.00205949660029566
300K,recalc_scan,windowed_sinc,kaiser,165000,4,95,-0.00377012201769455
300K,recalc_scan,windowed_sinc,kaiser,165000,4,96,-0.00490950807412155
300K,recalc_scan,windowed_sinc,kaiser,165000,4,97,-0.00543098061826202
300K,recalc_scan,windowed_sinc,kaiser,165000,4,98,-0.00535460463330588
300K,recalc_scan,windowed_sinc,kaiser,165000,4,99,-0.0047578323976547
300K,recalc_scan,windowed_sinc,kaiser,165000,4,100,-0.00376137354764665
300K,recalc_scan,windowed_sinc,kaiser,165000,4,101,-0.00251219366128604
300K,recalc_scan,windowed_sinc,kaiser,165000,4,102,-0.00116566304840023
300K,recalc_scan,windowed_sinc,kaiser,165000,4,103,0.000131226802490783
300K,recalc_scan,windowed_sinc,kaiser,165000,4,104,0.00125395640823317
300K,recalc_scan,windowed_sinc,kaiser,165000,4,105,0.00211069672603504
300K,recalc_scan,windowed_sinc,kaiser,165000,4,106,0.00264799172938023
300K,recalc_scan,windowed_sinc,kaiser,165000,4,107,0.00285178904096041
300K,recalc_scan,windowed_sinc,kaiser,165000,4,108,0.00274420884526483
300K,recalc_scan,windowed_sinc,kaiser,165000,4,109,0.00237685755077385
300K,recalc_scan,windowed_sinc,kaiser,165000,4,110,0.00182178161877607
300K,recalc_scan,windowed_sinc,kaiser,165000,4,111,0.00116129851449346
300K,recalc_scan,windowed_sinc,kaiser,165000,4,112,0.000477933784068354
300K,recalc_scan,windowed_sinc,kaiser,165000,4,113,-0.000154449441761766
300K,recalc_scan,windowed_sinc,kaiser,165000,4,114,-0.000677491124166539
300K,recalc_scan,windowed_sinc,kaiser,165000,4,115,-0.00105262489991229
300K,recalc_scan,windowed_sinc,kaiser,165000,4,116,-0.00126264129628895
300K,recalc_scan,windowed_sinc,kaiser,165000,4,117,-0.00131067370300132
300K,recalc_scan,windowed_sinc,kaiser,165000,4,118,-0.0012170331219596
300K,recalc_scan,windowed_sinc,kaiser,165000,4,119,-0.00101451543431643
300K,recalc_scan,windowed_sinc,kaiser,165000,4,120,-0.000742909342851813
300K,recalc_scan,windowed_sinc,kaiser,165000,4,121,-0.000443441457305035
300K,recalc_scan,windowed_sinc,kaiser,165000,4,122,-0.000153815945626033
300K,recalc_scan,windowed_sinc,kaiser,165000,4,123,9.5641962740946e-05
300K,recalc_scan,windowed_sinc,kaiser,165000,4,124,0.000284421816594177
300K,recalc_scan,windowed_sinc,kaiser,165000,4,125,0.000402735458552472
300K,recalc_scan,windowed_sinc,kaiser,165000,4,126,0.000450987319346082
300K,recalc_scan,windowed_sinc,kaiser,165000,4,127,0.000438063854040388
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,0,0.000108407206604068
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,1,0.000234672871045146
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,2,0.000344093878713215
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,3,0.000426217887391266
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,4,0.000470257572030293
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,5,0.000465850364168291
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,6,0.000404498747481252
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,7,0.000281564279798176
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,8,9.84990445654615e-05
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,9,-0.000135151126851084
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,10,-0.00040051029227125
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,11,-0.000669412840162418
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,12,-0.000906091597121565
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,13,-0.00107064580220067
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,14,-0.0011241131930007
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,15,-0.00103463951745065
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,16,-0.000783940825709489
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,17,-0.000373045924210233
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,18,0.000173762994497108
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,19,0.000807793000299504
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,20,0.00145827030443091
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,21,0.00203842764880127
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,22,0.00245507787531153
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,23,0.00262082367802164
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,24,0.00246752264351154
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,25,0.00195923069671122
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,26,0.00110266245280069
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,27,-4.67130258235292e-05
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,28,-0.00138445808377086
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,29,-0.00276372160403172
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,30,-0.0040086168390525
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,31,-0.00493353164962308
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,32,-0.00536654816049335
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,33,-0.00517435792155323
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,34,-0.00428553316212267
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,35,-0.00270885340922169
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,36,-0.000543647842656339
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,37,0.00202019624974126
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,38,0.00471383996500294
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,39,0.0072126527928245
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,40,0.00916939763806572
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,41,0.0102544981879064
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,42,0.0101992691187064
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,43,0.00883721805641552
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,44,0.00613829051798383
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,45,0.00223129566375139
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,46,-0.00258927886576162
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,47,-0.00787435587624491
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,48,-0.0130496720852081
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,49,-0.0174618424036109
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,50,-0.0204374187323128
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,51,-0.0213495570565133
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,52,-0.0196856973495123
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,53,-0.0151091298136094
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,54,-0.00750756322564469
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,55,0.00297716554236186
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,56,0.01594238072381
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,57,0.0307427444873192
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,58,0.046532664266829
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,59,0.0623297086342389
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,60,0.0770935122451481
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,61,0.0898128828630561
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,62,0.0995927938865621
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,63,0.105732782237066
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,64,0.107789005898067
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,65,0.105613778819066
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,66,0.099368630311562
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,67,0.0895095923293559
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,68,0.0767462135663479
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,69,0.0619784302626387
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,70,0.0462176056329288
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,71,0.030499549818619
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,72,0.0157979952862099
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,73,0.00294676867587184
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,74,-0.00742218988403463
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,75,-0.0149196194514093
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,76,-0.0194155200895121
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,77,-0.0210310609496131
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,78,-0.0201078687248125
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,79,-0.0171589523080107
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,80,-0.012807177513708
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,81,-0.00771816044307482
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,82,-0.00253462486727158
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,83,0.00218131604693136
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,84,0.00599273871446374
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,85,0.00861586766924538
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,86,0.0099299355051762
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,87,0.00996949920819622
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,88,0.00890160129850555
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,89,0.00699160373960436
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,90,0.00456243078823285
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,91,0.00195226642535122
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,92,-0.000524530584018327
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,93,-0.00260932985125163
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,94,-0.00412117019834257
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,95,-0.0049673577959731
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,96,-0.00514277601964321
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,97,-0.00471925811184295
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,98,-0.00382738936145239
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,99,-0.00263374247025164
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,100,-0.00131676463580082
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,101,-4.43398438974277e-05
100K,firmware_current_coeffs,c_table,legacy_hamming_sinc,54000,NaN,102,0.00104449294741065
