metadata_key,metadata_value
carrier_hz,1060000000.00
carrier_dbm,-6.00000000000
start_offset_hz,1000.00000000
stop_offset_hz,1000000.00000
average_count,1
enbw_mode,estimated
calibration_state,UNCAL
rbw_hz,1000.00000000
enbw_hz,1000.00000000
points_per_decade,60
planned_points,181
received_points,181

offset_hz,raw_dbc_hz,avg_dbc_hz,noise_power_dbm,rbw_hz,valid,warning
96235.0626398,-116.011214288,-116.011214288,-92.0112142877,1000.00000000,1,
100000.000000,-116.569821030,-116.569821030,-92.5698210300,1000.00000000,1,
103912.230384,-117.104491907,-117.104491907,-93.1044919068,1000.00000000,1,
107977.516233,-117.609024002,-117.609024002,-93.6090240023,1000.00000000,1,
112201.845430,-118.078925913,-118.078925913,-94.0789259126,1000.00000000,1,
116591.440118,-118.511570936,-118.511570936,-94.5115709355,1000.00000000,1,
121152.765863,-118.906261080,-118.906261080,-94.9062610801,1000.00000000,1,
125892.541179,-119.264199376,-119.264199376,-95.2641993761,1000.00000000,1,
130817.747426,-119.588372269,-119.588372269,-95.5883722690,1000.00000000,1,
135935.639088,-119.883348095,-119.883348095,-95.8833480953,1000.00000000,1,
141253.754462,-120.155001563,-120.155001563,-96.1550015628,1000.00000000,1,
146779.926762,-120.410177620,-120.410177620,-96.4101776203,1000.00000000,1,
152522.295654,-120.656310932,-120.656310932,-96.6563109316,1000.00000000,1,
158489.319246,-120.901019238,-120.901019238,-96.9010192381,1000.00000000,1,
164689.786548,-121.151690100,-121.151690100,-97.1516901002,1000.00000000,1,
171132.830416,-121.415080806,-121.415080806,-97.4150808056,1000.00000000,1,
177827.941004,-121.696950594,-121.696950594,-97.6969505943,1000.00000000,1,
184784.979742,-122.001742818,-122.001742818,-98.0017428176,1000.00000000,1,
192014.193864,-122.332332287,-122.332332287,-98.3323322868,1000.00000000,1,
199526.231497,-122.689849988,-122.689849988,-98.6898499884,1000.00000000,1,
207332.157349,-123.073593693,-123.073593693,-99.0735936934,1000.00000000,1,
215443.469003,-123.481028936,-123.481028936,-99.4810289365,1000.00000000,1,
223872.113857,-123.907880577,-123.907880577,-99.9078805768,1000.00000000,1,
232630.506715,-124.348310877,-124.348310877,-100.348310877,1000.00000000,1,
241731.548080,-124.795175949,-124.795175949,-100.795175949,1000.00000000,1,
251188.643151,-125.240348713,-125.240348713,-101.240348713,1000.00000000,1,
261015.721568,-125.675093352,-125.675093352,-101.675093352,1000.00000000,1,
271227.257933,-126.090473799,-126.090473799,-102.090473799,1000.00000000,1,
281838.293126,-126.477777157,-126.477777157,-102.477777157,1000.00000000,1,
292864.456463,-126.828932208,-126.828932208,-102.828932208,1000.00000000,1,
304321.988711,-127.136903348,-127.136903348,-103.136903348,1000.00000000,1,
316227.766017,-127.396041393,-127.396041393,-103.396041393,1000.00000000,1,
328599.324760,-127.602374686,-127.602374686,-103.602374686,1000.00000000,1,
341454.887383,-127.753826652,-127.753826652,-103.753826652,1000.00000000,1,
354813.389234,-127.850349400,-127.850349400,-103.850349400,1000.00000000,1,
368694.506452,-127.893966800,-127.893966800,-103.893966800,1000.00000000,1,
383118.684956,-127.888724713,-127.888724713,-103.888724713,1000.00000000,1,
398107.170553,-127.840550322,-127.840550322,-103.840550322,1000.00000000,1,
413682.040239,-127.757026761,-127.757026761,-103.757026761,1000.00000000,1,
429866.234708,-127.647093150,-127.647093150,-103.647093150,1000.00000000,1,
446683.592151,-127.520683634,-127.520683634,-103.520683634,1000.00000000,1,
464158.883361,-127.388321830,-127.388321830,-103.388321830,1000.00000000,1,
482317.848224,-127.260689175,-127.260689175,-103.260689175,1000.00000000,1,
501187.233627,-127.148186871,-127.148186871,-103.148186871,1000.00000000,1,
520794.832860,-127.060511416,-127.060511416,-103.060511416,1000.00000000,1,
541169.526546,-127.006263057,-127.006263057,-103.006263057,1000.00000000,1,
562341.325190,-126.992604987,-126.992604987,-102.992604987,1000.00000000,1,
584341.413373,-127.024988720,-127.024988720,-103.024988720,1000.00000000,1,
607202.195691,-127.106957993,-127.106957993,-103.106957993,1000.00000000,1,
630957.344480,-127.240039900,-127.240039900,-103.240039900,1000.00000000,1,
655641.849418,-127.423727876,-127.423727876,-103.423727876,1000.00000000,1,
681292.069058,-127.655556892,-127.655556892,-103.655556892,1000.00000000,1,
707945.784384,-127.931266932,-127.931266932,-103.931266932,1000.00000000,1,
735642.254460,-128.245046710,-128.245046710,-104.245046710,1000.00000000,1,
764422.274253,-128.589845876,-128.589845876,-104.589845876,1000.00000000,1,
794328.234724,-128.957740775,-128.957740775,-104.957740775,1000.00000000,1,
825404.185268,-129.340336385,-129.340336385,-105.340336385,1000.00000000,1,
857695.898591,-129.729185351,-129.729185351,-105.729185351,1000.00000000,1,
891250.938134,-130.116204345,-130.116204345,-106.116204345,1000.00000000,1,
926118.728129,-130.494068071,-130.494068071,-106.494068071,1000.00000000,1,
962350.626398,-130.856562398,-130.856562398,-106.856562398,1000.00000000,1,
1000000.00000,-131.198879993,-131.198879993,-107.198879993,1000.00000000,1,
