carrier_hz,carrier_dbm,rbw_hz,enbw_hz,average_count
14962.3565609,-105.473242795,-103.611430836,-81.4732427955,true
15848.9319246,-105.928905212,-103.929637451,-81.9289052118,true
16788.0401813,-106.368889982,-104.298846015,-82.3688899815,true
17782.7941004,-106.767087044,-104.720204869,-82.7670870438,true
18836.4908949,-107.099890003,-105.191122269,-83.0998900026,true
19952.6231496,-107.349076876,-105.705146209,-83.3490768759,true
21134.8903984,-107.504153712,-106.251797517,-83.5041537120,true
22387.2113857,-107.563907773,-106.816567439,-83.5639077729,true
23713.7370566,-107.536999395,-107.381377141,-83.5369993946,true
25118.8643152,-107.441522102,-107.925812193,-83.4415221015,true
26607.2505980,-107.303568531,-108.429332813,-83.3035685309,true
28183.8293127,-107.154943941,-108.874363351,-83.1549439412,true
29853.8261892,-107.030258589,-109.249695881,-83.0302585885,true
31622.7766017,-106.963695712,-109.553192596,-82.9636957120,true
33496.5439157,-106.985786388,-109.792699043,-82.9857863879,true
35481.3389233,-107.120522482,-109.984636609,-83.1205224820,true
37583.7404288,-107.383104339,-110.150711231,-83.3831043391,true
39810.7170553,-107.778554297,-110.313935066,-83.7785542973,true
42169.6503428,-108.301337462,-110.495239299,-84.3013374619,true
44668.3592151,-108.936026775,-110.711432937,-84.9360267749,true
47315.1258961,-109.658941190,-110.974560488,-85.6589411903,true
50118.7233627,-110.440585024,-111.292197470,-86.4405850238,true
53088.4444231,-111.248633808,-111.668029683,-87.2486338076,true
56234.1325190,-112.051155898,-112.102155948,-88.0511558984,true
59566.2143528,-112.819735500,-112.590838711,-88.8197355000,true
63095.7344481,-113.532174134,-113.125796014,-89.5321741338,true
66834.3917569,-114.174492694,-113.693480681,-90.1744926943,true
70794.5784384,-114.742030339,-114.275030126,-90.7420303387,true
74989.4209332,-115.239531797,-114.847582845,-91.2395317968,true
79432.8234724,-115.680221249,-115.387321653,-91.6802212490,true
84139.5141646,-116.083967550,-115.873871745,-92.0839675500,true
89125.0938134,-116.474741090,-116.294788275,-92.4747410905,true
94406.0876286,-116.877636981,-116.648412919,-92.8776369813,true
100000.000000,-117.315784731,-116.943908844,-93.3157847309,true
105925.372518,-117.807476391,-117.198599402,-93.8074763914,true
112201.845430,-118.363822044,-117.433894639,-94.3638220442,true
118850.222744,-118.987185908,-117.671339492,-94.9871859077,true
125892.541179,-119.670574094,-117.929765355,-95.6705740937,true
133352.143216,-120.398044752,-118.223779072,-96.3980447515,true
141253.754462,-121.146103519,-118.563320891,-97.1461035192,true
149623.565609,-121.885943160,-118.953842862,-97.8859431602,true
158489.319246,-122.586296905,-119.396693969,-98.5862969050,true
167880.401812,-123.216609719,-119.889432371,-99.2166097188,true
177827.941004,-123.750197329,-120.425951220,-99.7501973292,true
188364.908949,-124.167062999,-120.996469944,-100.167062999,true
199526.231497,-124.456076710,-121.587583952,-100.456076710,true
211348.903984,-124.616287051,-122.182652124,-100.616287051,true
223872.113857,-124.657225778,-122.762796633,-100.657225778,true
237137.370566,-124.598169444,-123.308664186,-100.598169444,true
251188.643151,-124.466430668,-123.802852265,-100.466430668,true
266072.505980,-124.294852323,-124.232594229,-100.294852323,true
281838.293126,-124.118760555,-124.592045585,-100.118760555,true
298538.261892,-123.972688515,-124.883476208,-99.9726885149,true
316227.766017,-123.887206159,-125.116941408,-99.8872061589,true
334965.439158,-123.886179901,-125.308500790,-99.8861799008,true
354813.389234,-123.984740673,-125.477537344,-99.9847406726,true
375837.404288,-124.188164629,-125.643954023,-100.188164629,true
398107.170553,-124.491775227,-125.825911836,-100.491775227,true
421696.503429,-124.881868660,-126.038435668,-100.881868660,true
446683.592151,-125.337557831,-126.292843781,-101.337557831,true
473151.258961,-125.833334348,-126.596702296,-101.833334348,true
501187.233627,-126.342073484,-126.953923645,-102.342073484,true
530884.444231,-126.838161403,-127.364701948,-102.838161403,true
562341.325190,-127.300412006,-127.825156849,-103.300412006,true
595662.143529,-127.714463729,-128.326785555,-103.714463729,true
630957.344480,-128.074402103,-128.856052940,-104.074402103,true
668343.917569,-128.383436031,-129.394629989,-104.383436031,true
707945.784384,-128.653555938,-129.920835037,-104.653555938,true
749894.209332,-128.904209694,-130.412604418,-104.904209694,true
794328.234724,-129.160136187,-130.851710472,-105.160136187,true
841395.141645,-129.448585739,-131.228090285,-105.448585739,true
891250.938134,-129.796221834,-131.542595557,-105.796221834,true
944060.876286,-130.226032997,-131.806868559,-106.226032997,true
1000000.00000,-130.754583552,-132.040367504,-106.754583552,true
